service,date,aircraft,location,lat,lon,target,numweapons,timeon,weapon,weaponweight,missionfunction,numaircraft,unit,timeoff
USAF,10/9/1965,F-100,BIEN HOA,9.45882637,105.1382415,TROOPS,14,1820,M-39,50,STRIKE,2,JAJJF0,1827
USAF,10/9/1965,F-100,TAN SON NHUT,9.58016006,105.7489245,TROOPS,0,1015,,0,STRIKE,2,JAJJP0,1035
USAF,10/9/1965,F-100,TAN SON NHUT,9.58016006,105.7489245,TROOPS,4,1015,750LB BLU-1/27,694,STRIKE,2,JAJJP0,1035
USAF,10/9/1965,F-100,TAN SON NHUT,9.58016006,105.7489245,TROOPS,4,1015,CBU-2,743,STRIKE,2,JAJJP0,1035
USAF,10/9/1965,F-100,TAN SON NHUT,9.58016006,105.7489245,TROOPS,14,1015,M-39,50,STRIKE,2,JAJJP0,1035
USAF,10/9/1965,F-100,TAN SON NHUT,9.65510897,105.1501718,TROOPS,0,1420,,0,STRIKE,5,JAJJP0,1430
USAF,10/9/1965,F-100,TAN SON NHUT,9.65510897,105.1501718,TROOPS,8,1420,750LB BLU-1/27,694,STRIKE,5,JAJJP0,1430
USAF,10/9/1965,F-100,TAN SON NHUT,9.65510897,105.1501718,TROOPS,8,1420,500LB GP MK-82,500,STRIKE,5,JAJJP0,1430
USAF,10/9/1965,F-100,TAN SON NHUT,9.65510897,105.1501718,TROOPS,30,1420,M-39,50,STRIKE,5,JAJJP0,1430
USAF,10/9/1965,RF-101,TAN SON NHUT,9.85928118,105.4403327,TROOPS,0,755,,0,PHOTO RECCE,1,JAJQPA,805
USAF,10/9/1965,RF-101,TAN SON NHUT,9.89638116,105.7807359,TROOPS,0,815,,0,PHOTO RECCE,1,JAJQPA,845
USAF,10/9/1965,RF-101,,9.99808582,107.3097755,BRIDGE,0,1500,,0,PHOTO RECCE,1,JAJQPA,0
USAF,10/9/1965,F-100,TAN SON NHUT,10.00300552,105.9259826,TROOPS,0,1840,,0,STRIKE,2,JAJJP0,1855
USAF,10/9/1965,F-100,TAN SON NHUT,10.00300552,105.9259826,TROOPS,4,1840,750LB BLU-1/27,694,STRIKE,2,JAJJP0,1855
USAF,10/9/1965,F-100,TAN SON NHUT,10.00300552,105.9259826,TROOPS,4,1840,CBU-2,743,STRIKE,2,JAJJP0,1855
USAF,10/9/1965,F-100,TAN SON NHUT,10.00300552,105.9259826,TROOPS,16,1840,M-39,50,STRIKE,2,JAJJP0,1855
USAF,10/9/1965,F-100,,10.12915692,105.7547284,TROOPS,0,815,,0,STRIKE,3,JAJJP0,825
USAF,10/9/1965,F-100,TAN SON NHUT,10.12915692,105.7547284,TROOPS,0,845,,0,STRIKE,5,JAJJP0,900
USAF,10/9/1965,F-100,,10.12915692,105.7547284,TROOPS,8,815,750LB BLU-1/27,694,STRIKE,3,JAJJP0,825
USAF,10/9/1965,F-100,TAN SON NHUT,10.12915692,105.7547284,TROOPS,8,845,750LB BLU-1/27,694,STRIKE,5,JAJJP0,900
USAF,10/9/1965,F-100,TAN SON NHUT,10.12915692,105.7547284,TROOPS,90,845,2.75IN FLECHET,18,STRIKE,5,JAJJP0,900
USAF,10/9/1965,F-100,,10.12915692,105.7547284,TROOPS,152,815,2.75IN FLECHET,18,STRIKE,3,JAJJP0,825
USAF,10/9/1965,F-100,,10.12915692,105.7547284,TROOPS,22,815,M-39,50,STRIKE,3,JAJJP0,825
USAF,10/9/1965,F-100,TAN SON NHUT,10.12915692,105.7547284,TROOPS,21,845,M-39,50,STRIKE,5,JAJJP0,900
USAF,10/9/1965,FC-47,BIEN HOA,10.34316792,107.0703353,UNKNOWN\UNIDENTIFIED,0,1300,,0,SHIP_ CMBT AIR PATROL,1,JAAGD0,1615
USAF,10/9/1965,FC-47,BIEN HOA,10.34316792,107.0703353,UNKNOWN\UNIDENTIFIED,0,1300,30 CAL,50,SHIP_ CMBT AIR PATROL,1,JAAGD0,1615
USAF,10/9/1965,FC-47,BIEN HOA,10.34316792,107.0703353,UNKNOWN\UNIDENTIFIED,0,1300,MK-24,25,SHIP_ CMBT AIR PATROL,1,JAAGD0,1615
USAF,10/9/1965,RF-101,TAN SON NHUT,10.38031525,106.9107809,TROOPS,0,1457,,0,PHOTO RECCE,1,JAJQPA,1512
USN,10/9/1965,A-4,BON HOMME RICHARD (CVA-31),10.46072255,106.1740206,TROOPS,0,1045,,0,AIR INTERDICTION,4,N09707,1055
USN,10/9/1965,A-4,BON HOMME RICHARD (CVA-31),10.46072255,106.1740206,TROOPS,1,1045,MK-24,25,AIR INTERDICTION,4,N09707,1055
